Rsz	Vjel	NEV__________	Atomtomeg___	Suruseg___	Olvadasp.	Forrasp.	Fajho	E-neg
1	H	hidrog‚n	1,007947	0,00008988	14,175	20,28	14,304	2,2
2	He	h‚lium	4,0026022	0,0001785	-	4,22	5,193	-
3	Li	lˇtium	6,9412	0,534	453,85	1615	3,582	0,98
4	Be	berillium	9,0121823	1,85	1560,15	2742	1,825	1,57
5	B	b˘r	10,8117	2,34	2573,15	4200	1,026	2,04
6	C	sz‚n	12,01078	2,267	3948,15	4300	0,709	2,55
7	N	nitrog‚n	14,00672	0,0012506	63,29	77,36	1,04	3,04
8	O	oxig‚n	15,99943	0,001429	50,5	90,2	0,918	3,44
9	F	fluor	18,99840325	0,001696	53,63	85,03	0,824	3,98
10	Ne	neon	20,17976	0,0008999	24,703	27,07	1,03	-
11	Na	n trium	22,989769282	0,971	371,15	1156	1,228	0,93
12	Mg	magn‚zium	24,30506	1,738	923,15	1363	1,023	1,31
13	Al	alumˇnium	26,98153868	2,698	933,4	2792	0,897	1,61
14	Si	szilˇcium	28,08553	2,3296	1683,15	3538	0,705	1,9
15	P	foszfor	30,9737622	1,82	317,25	553	0,769	2,19
16	S	k‚n	32,0655	2,067	388,51	717,8	0,71	2,58
17	Cl	kl˘r	35,4532	0,003214	172,31	239,11	0,479	3,16
18	Ar	argon	39,9481	0,0017837	83,96	87,3	0,52	-
19	K	k lium	39,09831	0,862	336,5	1032	0,757	0,82
20	Ca	kalcium	40,0784	1,54	1112,15	1757	0,647	1
21	Sc	szkandium	44,9559126	2,989	1812,15	3109	0,568	1,36
22	Ti	tit n	47,8671	4,54	1933,15	3560	0,523	1,54
23	V	van dium	50,94151	6,11	2175,15	3680	0,489	1,63
24	Cr	kr˘m	51,99616	7,15	2130,15	2944	0,449	1,66
25	Mn	mang n	54,9380455	7,44	1519,15	2334	0,479	1,55
26	Fe	vas	55,8452	7,874	1808,15	3134	0,449	1,83
27	Co	kobalt	58,9331955	8,86	1768,15	3200	0,421	1,88
28	Ni	nikkel	58,69344	8,912	1726,15	3186	0,444	1,91
29	Cu	r‚z	63,5463	8,96	1357,75	2835	0,385	1,9
30	Zn	cink	65,382	7,134	692,88	1180	0,388	1,65
31	Ga	gallium	69,7231	5,907	302,91	2477	0,371	1,81
32	Ge	germ nium	72,641	5,323	1211,45	3106	0,32	2,01
33	As	arz‚n	74,921602	5,776	1090,15	887	0,329	2,18
34	Se	szel‚n	78,963	4,809	494,15	958	0,321	2,55
35	Br	br˘m	79,9041	3,122	266,05	332	0,474	2,96
